id,price_doc
30474,5372097.733285689
30475,7997170.999583154
30476,5401984.934713847
30477,5671546.456898104
30478,4863679.895202872
30479,8840171.914160443
30480,4235934.838371216
30481,4175874.699307471
30482,4729288.062469468
30483,4579601.319761644
30484,6412137.159942349
30485,4843063.798656915
30486,3557285.637259057
30487,3809959.3852053313
30488,6064993.505889465
30489,6077555.900158235
30490,21489433.933663726
30491,18823370.056758557
30492,5628173.12557331
30493,13135537.758308403
30494,6652230.515501685
30495,10727996.172234582
30496,8789753.062188061
30497,8102102.08604307
30498,4403813.314655749
30499,7560720.86695186
30500,11105063.000478042
30501,6894626.002653598
30502,2982228.276317708
30503,5993464.67960314
30504,5600307.125223824
30505,11000437.34369691
30506,3118864.6915602586
30507,4636890.27354215
30508,5279704.385049136
30509,7436885.564570768
30510,9152078.398189357
30511,6381521.740248054
30512,6213156.601480825
30513,4171424.91615467
30514,3316553.759637291
30515,9444770.501247274
30516,5699321.22753096
30517,10390383.527814392
30518,8963343.620241255
30519,4505667.387744423
30520,7083910.081136701
30521,5484323.334414841
30522,7198069.926234923
30523,6390763.732301062
30524,10889861.579094497
30525,10545764.24422575
30526,4790052.83653297
30527,4779599.64600673
30528,6357723.716367814
30529,6507533.167387495
30530,6044628.972185843
30531,14684007.866913687
30532,4684637.974268981
30533,10695113.226695767
30534,6835445.316271408
30535,9352148.078397142
30536,5712883.095882672
30537,11260907.45665805
30538,4990267.7519494295
30539,8322785.502026257
30540,9555843.877536735
30541,6332215.366657742
30542,1866179.3114865737
30543,5465335.719938057
30544,6607080.109966135
30545,8452142.25905374
30546,4206572.312982139
30547,9407819.044804562
30548,4488044.770591027
30549,4969591.978376193
30550,12033959.865743468
30551,4953448.189664149
30552,1585539.0445237148
30553,7108210.887614391
30554,10568516.203470597
30555,6132635.5597273335
30556,8992587.211033685
30557,7298917.276426308
30558,9237554.62560849
30559,6329554.446572515
30560,5937275.9235432735
30561,6716516.46742693
30562,11650411.951103004
30563,5023996.652369335
30564,6905793.977352484
30565,6791527.761191843
30566,7110720.782620548
30567,1727400.0146505088
30568,9811913.503028601
30569,9653247.022022288
30570,6529854.515595157
30571,7359940.898611549
30572,4799975.870901218
30573,6363485.407581214
30574,5912790.46047718
30575,7342802.374564311
30576,4901910.956892975
30577,4086848.577049151
30578,3108021.735199013
30579,6991965.749810931
30580,4471428.831006305
30581,5368853.461631502
30582,13284961.674421038
30583,6782875.13891222
30584,4378071.727380721
30585,2551814.3732767687
30586,8730726.878130142
30587,5859851.686341147
30588,7698391.163581414
30589,7009849.108414364
30590,11894622.380140144
30591,4999957.28695062
30592,6325962.534941249
30593,8258966.312586521
30594,6716800.291147299
30595,5281577.120367577
