id,price_doc
30474,5791491.0
30475,8330200.0
30476,5668072.5
30477,6156852.0
30478,5124426.0
30479,8697036.0
30480,4465622.5
30481,4250551.0
30482,4846431.5
30483,4786345.0
30484,6461390.0
30485,5095713.0
30486,3362602.5
30487,4270105.0
30488,6241734.5
30489,6186211.0
30490,22143830.0
30491,20277974.0
30492,5998510.0
30493,14597832.0
30494,7200356.5
30495,11264588.0
30496,8949206.0
30497,8771482.0
30498,4528856.5
30499,7444294.5
30500,11935606.0
30501,7414445.0
30502,3100172.5
30503,6092464.0
30504,6129407.0
30505,10868904.0
30506,2795543.25
30507,4868003.5
30508,5588183.0
30509,7906872.5
30510,9653066.0
30511,7042416.5
30512,6492189.0
30513,4207470.5
30514,3413300.5
30515,9915618.0
30516,5952489.0
30517,11200704.0
30518,7764242.0
30519,4695562.0
30520,7802660.0
30521,5341793.5
30522,7221540.0
30523,7246717.0
30524,10559746.0
30525,10978456.0
30526,4991781.0
30527,4858271.5
30528,6638246.5
30529,6598333.0
30530,6072251.0
30531,15367316.0
30532,4834404.5
30533,11290510.0
30534,7203394.5
30535,9863472.0
30536,6045660.5
30537,11716974.0
30538,5418061.5
30539,7134923.0
30540,10013210.0
30541,6160844.5
30542,1809238.75
30543,5812357.5
30544,6232426.5
30545,9233196.0
30546,4284562.0
30547,9943588.0
30548,4694921.0
30549,5227890.0
30550,12950102.0
30551,5335698.5
30552,1542550.875
30553,7248427.0
30554,11048564.0
30555,6616368.0
30556,9331778.0
30557,7000355.5
30558,9871810.0
30559,6002115.5
30560,5779309.5
30561,6667487.5
30562,12348034.0
30563,5385132.0
30564,7904605.0
30565,7258675.5
30566,7139265.0
30567,1737619.125
30568,10852168.0
30569,9768488.0
30570,7091728.5
30571,7830439.5
30572,5037855.5
30573,6490501.0
30574,6141111.0
30575,7885450.5
30576,5199089.5
30577,4016998.25
30578,2790959.5
30579,7267690.0
30580,4643799.0
30581,5599065.0
30582,13751544.0
30583,7178465.5
30584,4481567.0
30585,2616371.75
30586,9349862.0
30587,6089959.0
30588,7225419.0
30589,7754826.5
30590,11972956.0
30591,5275110.0
30592,6466645.5
30593,8842128.0
30594,7075552.0
30595,5124926.5
30596,6984201.0
30597,6503214.5
30598,9988744.0
30599,8890928.0
30600,5409292.5
30601,6691167.0
30602,1585980.125
30603,12384654.0
30604,4773558.0
30605,6782726.0
30606,23077146.0
30607,7013249.5
30608,9141222.0
30609,6215898.0
30610,2992522.25
30611,5809115.0
30612,7592470.5
30613,8725206.0
30614,17820380.0
30615,7996658.5
30616,5929636.5
30617,9742836.0
30618,5598374.5
30619,4145532.75
30620,2321294.0
30621,9362166.0
30622,8380909.5
30623,6725995.0
30624,6968621.5
30625,7607726.5
30626,5980287.0
30627,7120100.5
30628,6442081.0
30629,5501708.5
30630,4486301.5
30631,6450711.5
30632,4228902.0
30633,6287735.5
30634,11403128.0
30635,9956024.0
30636,5493926.0
30637,9985272.0
30638,6115653.5
30639,7832287.5
30640,4624669.0
30641,7798246.5
30642,6893773.0
30643,8130166.0
30644,9986684.0
30645,7358863.0
30646,5199850.0
30647,4938481.0
30648,26732490.0
30649,2224513.5
30650,5177125.0
30651,2919262.25
30652,4726390.0
30653,7337246.0
30654,4891532.0
30655,13028742.0
30656,4063053.5
30657,6581619.5
30658,9778762.0
30659,4934000.5
30660,9167044.0
30661,6698044.5
30662,8408484.0
30663,20343090.0
30664,12853056.0
30665,6285440.5
30666,2603283.5
30667,4116184.25
30668,9284122.0
30669,5199470.0
30670,2437795.75
30671,7430457.0
30672,15142980.0
30673,11310384.0
30674,11362930.0
30675,1815431.875
30676,6651380.0
30677,4841465.5
30678,19974440.0
30679,5907714.5
30680,5723433.0
30681,2277771.75
30682,8956514.0
30683,10138954.0
30684,4797297.5
30685,7652482.0
30686,9686460.0
30687,5222798.0
30688,4500003.5
30689,15772528.0
30690,26759280.0
30691,4698599.5
30692,6050632.0
30693,11735678.0
30694,5098941.0
30695,7367637.0
30696,6609360.5
30697,11939310.0
30698,7690032.0
30699,6233466.5
30700,5044049.0
30701,9986684.0
